 구분 ,인원,총급여,근로소득금액,소득공제금액,과세표준,결정세액
상위 0.1%,21078,21064731,20669191,970720,19698471,7267579
상위 0.2%,21079,9253251,8846831,624036,8222795,2640436
상위 0.3%,21078,7366946,6963087,545272,6417815,1944545
상위 0.4%,21079,6357927,5971703,508992,5462711,1586693
상위 0.5%,21078,5702478,5327934,486764,4841170,1359223
상위 0.6%,21079,5216393,4849328,471981,4377347,1190400
상위 0.7%,21078,4866133,4506094,466431,4039663,1063380
상위 0.8%,21079,4587479,4231421,460945,3770476,964182
상위 0.9%,21078,4374165,4021473,459556,3561917,886658
상위 1.0%,21079,4205912,3855497,459443,3396054,826366
 상위 2% ,210785,36533269,33127269,4416516,28710753,6401896
 상위 3% ,210786,31022166,27717741,4184966,23532774,4629570
 상위 4% ,210785,27649064,24409360,4043785,20365575,3551164
 상위 5% ,210785,25260715,22068522,3863480,18205041,2851716
 상위 6% ,210786,23474066,20317227,3709156,16608071,2420481
 상위 7% ,210785,22038924,18910889,3636533,15274355,2110398
 상위 8% ,210785,20921273,17821946,3579895,14242051,1871835
 상위 9% ,210786,20019747,16963771,3590204,13373567,1669414
 상위 10% ,210785,19217246,16201344,3560768,12640576,1503169
 상위 11% ,210785,18484789,15505466,3525764,11979702,1356143
 상위 12% ,210786,17818848,14872826,3450965,11421861,1239349
 상위 13% ,210785,17203314,14288091,3396401,10891690,1131475
 상위 14% ,210785,16624705,13738398,3333791,10404607,1035148
 상위 15% ,210786,16075266,13216407,3280565,9935842,953208
 상위 16% ,210785,15549354,12716787,3215755,9501031,884824
 상위 17% ,210785,15066902,12258483,3125463,9133020,832094
 상위 18% ,210786,14612574,11826874,3121798,8705076,741708
 상위 19% ,210785,14179398,11415353,3072443,8342910,688122
 상위 20% ,210786,13773085,11029319,2987606,8041713,648113
 상위 21% ,210785,13388585,10664015,2922393,7741622,607366
 상위 22% ,210785,13026770,10320329,2843711,7476618,571869
 상위 23% ,210786,12692917,10003197,2743201,7259996,546480
 상위 24% ,210785,12381095,9706975,2724812,6982163,505784
 상위 25% ,210785,12071116,9412457,2656268,6756189,476393
 상위 26% ,210786,11767313,9123809,2602718,6521091,444254
 상위 27% ,210785,11479318,8850224,2539262,6310962,411516
 상위 28% ,210785,11200988,8585810,2490722,6095088,381806
 상위 29% ,210786,10930396,8328738,2430135,5898603,356179
 상위 30% ,210785,10671272,8082580,2378588,5703992,330740
 상위 31% ,210785,10428088,7851567,2315390,5536177,309848
 상위 32% ,210786,10194979,7630091,2248326,5381765,291944
 상위 33% ,210785,9985631,7431208,2222662,5208547,266966
 상위 34% ,210785,9768339,7224792,2166933,5057859,249094
 상위 35% ,210786,9564181,7030941,2115711,4915230,232471
 상위 36% ,210785,9364321,6853099,2077828,4775270,214669
 상위 37% ,210785,9169978,6687872,2036296,4651575,199835
 상위 38% ,210786,8986128,6531629,1989432,4542196,186408
 상위 39% ,210785,8815510,6386585,1941398,4445187,176629
 상위 40% ,210786,8643570,6240419,1921347,4319072,159937
 상위 41% ,210785,8475120,6097287,1882027,4215260,147804
 상위 42% ,210785,8316286,5962244,1846419,4115825,137334
 상위 43% ,210786,8157713,5827451,1813089,4014362,126271
 상위 44% ,210785,8006967,5699301,1774578,3924723,115274
 상위 45% ,210785,7858633,5573217,1750265,3822952,105766
 상위 46% ,210786,7715241,5451350,1714103,3737247,97320
 상위 47% ,210785,7589990,5344892,1693382,3651510,94376
 상위 48% ,210785,7467581,5240865,1655937,3584929,84198
 상위 49% ,210786,7334275,5127518,1634769,3492749,78304
 상위 50% ,210785,7202097,5015161,1593957,3421204,72467
 상위 51% ,210785,7078498,4910102,1571460,3338643,68397
 상위 52% ,210786,6952949,4803391,1538273,3265118,62344
 상위 53% ,210785,6826519,4695950,1514803,3181147,58136
 상위 54% ,210785,6700758,4589083,1478719,3110364,54243
 상위 55% ,210786,6578204,4484857,1465831,3019026,50547
 상위 56% ,210785,6457518,4382279,1421585,2960694,47505
 상위 57% ,210785,6342556,4284591,1392440,2892150,45718
 상위 58% ,210786,6246716,4203111,1356577,2846534,42262
 상위 59% ,210785,6123009,4097946,1289916,2808030,41073
 상위 60% ,210786,6013985,4005280,1339287,2665993,36054
 상위 61% ,210785,5895795,3904824,1274096,2630728,35224
 상위 62% ,210785,5795057,3819187,1259178,2560009,33792
 상위 63% ,210786,5683561,3724410,1229415,2494995,31843
 상위 64% ,210785,5575226,3632330,1220733,2411598,29867
 상위 65% ,210785,5473970,3546254,1192259,2353995,28095
 상위 66% ,210786,5359626,3449065,1081473,2367591,29591
 상위 67% ,210785,5286390,3386810,1201090,2185720,24572
 상위 68% ,210785,5215893,3326888,1160677,2166211,24962
 상위 69% ,210786,5121174,3246380,1041451,2204929,26250
 상위 70% ,210785,5025914,3165414,1135934,2029480,21925
 상위 71% ,210785,4871572,3034215,993057,2041158,22993
 상위 72% ,210786,4728367,2912503,1030442,1882060,20075
 상위 73% ,210785,4568912,2776954,976665,1800289,18638
 상위 74% ,210785,4404396,2637149,916558,1720591,17322
 상위 75% ,210786,4233604,2491945,893184,1598761,15064
 상위 76% ,210785,4052259,2337815,861820,1475995,12777
 상위 77% ,210785,3874345,2186588,787404,1399184,11421
 상위 78% ,210786,3717113,2052927,858974,1193953,7730
 상위 79% ,210785,3522981,1887928,770864,1117064,6386
 상위 80% ,210786,3337968,1730654,760325,970329,3984
 상위 81% ,210785,3159261,1585232,699493,885739,2219
 상위 82% ,210785,2976180,1469530,661263,808267,780
 상위 83% ,210786,2781425,1352716,616856,735860,114
 상위 84% ,210785,2605641,1247233,539919,707313,9
 상위 85% ,210785,2465436,1163090,558041,605049,2
 상위 86% ,210786,2273366,1047846,509996,537850,2
 상위 87% ,210785,2094247,940371,480659,459712,0
 상위 88% ,210785,1925546,839150,455950,383200,0
 상위 89% ,210786,1744555,730563,428264,302299,3
 상위 90% ,210785,1616491,653731,404784,248946,4
 상위 91% ,210785,1461816,560925,395308,165617,4
 상위 92% ,210786,1298289,462802,373735,89067,2
 상위 93% ,210785,1129109,361417,342987,18430,2
 상위 94% ,210785,961326,288398,288398,0,0
 상위 95% ,210786,808823,242650,242646,4,1
 상위 96% ,210785,642894,192868,192868,0,0
 상위 97% ,210785,487627,146288,146288,0,0
 상위 98% ,210786,348023,104409,104406,3,1
 상위 99% ,210785,193229,57969,57969,0,0
 상위 100% ,210786,45012,13504,13504,0,0
