분류,진단명,년도,주체,건수,남성,여성,10대이하,20대,30대,40대,50대,60대,70대,80대,(검사결과)문제없음,(검사결과)문제있음,(검사결과)저위험군,(검사결과)중위험군,(검사결과)고위험군,서울,경기,인천,강원,세종,대전,충북,충남,부산,울산,대구,경북,경남,광주,전북,전남,제주,기타
알코올,AUDIT-K,2018,본인,1585,956,629,13,370,460,488,225,22,0,6,143,1442,143,340,1102,386,384,80,45,9,63,23,54,95,27,52,51,174,42,60,18,0,0
알코올,중독치료 필요여부 진단,2018,본인,431,240,191,3,69,142,150,58,7,0,2,368,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
알코올,AUDIT-K,2018,가족/지인,39,32,7,0,5,6,12,10,3,2,1,0,39,0,7,32,8,7,3,1,3,0,0,2,1,0,1,0,9,1,1,2,0,0
알코올,알코올 중독 진단,2018,가족/지인,90,67,23,2,10,24,19,23,5,7,2,4,86,0,0,0,25,17,4,5,0,3,2,1,6,0,5,0,12,3,3,4,0,0
약물류,약물 사용장애 선별검사,2018,본인,181,101,80,7,43,71,35,20,4,0,1,153.7,27.3,9,10.2,8.1,69,40,9,4,5,4,1,2,7,5,7,2,20,3,2,0,1,0
약물류,DAST-10 약물 사용 선별검사,2018,본인,50,21,29,3,13,18,9,5,2,0,0,11,39,14,9,16,24,11,0,0,0,1,1,0,1,0,1,1,8,2,0,0,0,0
약물류,약물 중독 진단,2018,가족/지인,32,19,13,2,7,6,10,7,0,0,0,9,23,0,0,0,10,10,1,2,0,2,0,0,1,0,0,0,6,0,0,0,0,0
약물류,DAST-10 약물 사용 선별검사,2018,가족/지인,12,9,3,1,3,1,4,3,0,0,0,0,12,1,2,9,3,2,2,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0
알코올,AUDIT-K,2019,본인,405,242,163,10,149,90,99,37,16,1,3,70,335,70,107,228,110,58,22,9,2,22,19,19,20,7,13,20,55,3,11,12,2,0
알코올,중독치료 필요여부 진단,2019,본인,84,47,37,1,16,24,30,6,7,0,0,33,51,0,0,0,22,12,5,1,0,3,2,2,6,0,5,3,17,0,2,2,1,0
알코올,AUDIT-K,2019,가족/지인,46,33,13,0,5,5,10,12,11,3,0,1,45,1,2,43,5,7,2,2,0,0,2,1,3,1,2,3,18,0,0,0,0,0
알코올,알코올 중독 진단,2019,가족/지인,77,59,18,1,7,10,16,20,14,6,3,1,76,0,0,0,13,8,4,2,1,2,2,1,4,0,6,2,30,0,0,1,1,0
약물류,약물 사용장애 선별검사,2019,본인,253,125,128,20,85,69,48,26,3,1,1,212.7,40.3,9.8,15.9,14.6,88,34,13,12,2,11,4,3,19,5,12,6,29,2,4,3,6,0
약물류,DAST-10 약물 사용 선별검사,2019,본인,51,23,28,0,19,12,11,8,1,0,0,8,43,12,12,19,21,6,4,0,1,2,0,2,3,0,3,1,7,0,0,0,1,0
약물류,약물 중독 진단,2019,가족/지인,62,36,26,2,11,14,16,10,5,1,3,4,58,0,0,0,20,8,1,0,1,1,0,3,11,0,4,1,10,0,1,1,0,0
약물류,DAST-10 약물 사용 선별검사,2019,가족/지인,24,14,10,0,5,7,4,6,2,0,0,0,24,2,6,16,10,3,0,0,1,0,0,1,5,0,0,0,2,0,1,1,0,0
알코올,AUDIT-K,2020,본인,882,501,381,10,330,205,146,109,57,20,5,231,651,231,245,406,224,116,17,33,8,29,11,26,79,22,26,24,242,4,9,10,2,0
알코올,중독치료 필요여부 진단,2020,본인,106,57,49,14,21,20,23,17,11,0,0,46,60,0,0,0,25,18,3,4,0,1,4,3,1,9,16,2,15,2,1,2,0,0
알코올,AUDIT-K,2020,가족/지인,49,35,14,0,4,9,8,12,14,4,0,0,49,0,3,46,6,10,0,1,0,0,1,1,5,2,5,1,14,1,1,1,0,0
알코올,알코올 중독 진단,2020,가족/지인,93,65,28,0,11,16,11,28,18,9,0,0,93,0,0,0,9,15,1,2,0,0,1,2,12,4,6,3,31,3,2,2,0,0
