분류,년도,건수,약물,(검사결과)문제없음,(검사결과)문제있음,(검사결과)저위험군,(검사결과)중위험군,(검사결과)고위험군
약물류,2018,181,메트암페타민,119,62,19,25,18
약물류,2018,181,대마제제,144,37,15,15,7
약물류,2018,181,흥분제,138,43,9,17,17
약물류,2018,181,코카인,168,13,4,5,4
약물류,2018,181,아편제제,170,11,3,5,3
약물류,2018,181,흡입제,156,25,15,7,3
약물류,2018,181,"진정,수면제",142,39,9,16,14
약물류,2018,181,환각제,162,19,9,5,5
약물류,2018,181,처방전 아편제제,168,13,3,4,6
약물류,2018,181,기타(신종 마약류),170,11,4,3,4
약물류,2018,181,약물전체 평균,153.7,27.3,9,10.2,8.1
약물류,2019,253,메트암페타민,164,89,13,34,42
약물류,2019,253,대마제제,200,53,17,23,13
약물류,2019,253,흥분제,194,59,13,27,19
약물류,2019,253,코카인,239,14,4,5,5
약물류,2019,253,아편제제,244,9,1,3,5
약물류,2019,253,흡입제,231,22,11,4,7
약물류,2019,253,"진정,수면제",175,78,16,33,29
약물류,2019,253,환각제,217,36,13,17,6
약물류,2019,253,처방전 아편제제,230,23,7,4,12
약물류,2019,253,기타(신종 마약류),233,20,3,9,8
약물류,2019,253,약물전체 평균,212.7,40.3,9.8,15.9,14.6
약물류,2020,256,메스암페타민,173,83,14,32,37
약물류,2020,256,대마,195,61,28,21,12
약물류,2020,256,흥분제,206,50,11,17,22
약물류,2020,256,코카인,238,18,10,5,3
약물류,2020,256,아편제제,250,6,1,1,4
약물류,2020,256,흡입제,230,26,14,7,5
약물류,2020,256,"진정, 수면제",153,103,18,47,38
약물류,2020,256,환각제,216,40,13,19,8
약물류,2020,256,처방받은 아편제,231,25,2,10,13
약물류,2020,256,기타(신종 마약류),241,15,4,5,6
약물류,2020,256,약물전체 평균,213.3,42.7,11.5,16.4,14.8
약물류,2021,491,메스암페타민,344,147,40,59,48
약물류,2021,491,대마,358,133,68,45,20
약물류,2021,491,흥분제,379,112,31,46,35
약물류,2021,491,코카인,447,44,27,9,8
약물류,2021,491,아편제제,472,19,10,1,8
약물류,2021,491,흡입제,449,42,24,10,8
약물류,2021,491,"진정, 수면제",319,172,33,76,63
약물류,2021,491,환각제,392,99,47,28,24
약물류,2021,491,처방받은 아편제,441,50,15,13,22
약물류,2021,491,기타(신종 마약류),453,38,18,11,9
약물류,2021,491,약물전체 평균,405.4,85.6,31.3,29.8,24.5
약물류,2022,503,메스암페타민,364,139,25,50,64
약물류,2022,503,대마,346,157,68,59,30
약물류,2022,503,흥분제,395,108,25,59,24
약물류,2022,503,코카인,454,49,25,14,10
약물류,2022,503,아편제제,486,17,4,7,6
약물류,2022,503,흡입제,458,45,33,4,8
약물류,2022,503,"진정, 수면제",323,180,47,77,56
약물류,2022,503,환각제,382,121,53,43,25
약물류,2022,503,처방받은 아편제,457,46,17,13,16
약물류,2022,503,기타(신종 마약류),448,55,25,18,12
약물류,2022,503,약물전체 평균,411.3,91.7,32.2,34.4,25.1
약물류,2023,848,메스암페타민,659,189,49,61,79
약물류,2023,848,대마,671,177,61,65,51
약물류,2023,848,흥분제,709,139,29,64,46
약물류,2023,848,코카인,774,74,17,22,35
약물류,2023,848,아편제제,805,43,7,14,22
약물류,2023,848,흡입제,786,62,23,15,24
약물류,2023,848,"진정, 수면제",639,209,50,78,81
약물류,2023,848,환각제,720,128,32,44,52
약물류,2023,848,처방받은 아편제,764,84,16,28,40
약물류,2023,848,기타(신종 마약류),777,71,25,22,24
약물류,2023,848,약물전체 평균,730.4,117.6,30.9,41.3,45.4
약물류,2024,1040,메스암페타민,882,158,43,60,55
약물류,2024,1040,대마,890,150,68,52,30
약물류,2024,1040,흥분제,906,134,32,67,35
약물류,2024,1040,코카인,967,73,20,16,37
약물류,2024,1040,아편제제,1011,29,4,9,16
약물류,2024,1040,흡입제,978,62,25,18,19
약물류,2024,1040,"진정, 수면제",797,243,57,121,65
약물류,2024,1040,환각제,929,111,47,27,37
약물류,2024,1040,처방받은 아편제,988,52,16,16,20
약물류,2024,1040,기타(신종 마약류),970,70,26,16,28
약물류,2024,1040,약물전체 평균,931.8,108.2,33.8,40.2,34.2
